time,low,high,open,close,volume
2022-12-13,0.531,0.561,0.553,0.55,209569.74
2022-12-14,0.548,0.571,0.552,0.555,223711.556
2022-12-15,0.538,0.556,0.554,0.541,76298.354
2022-12-16,0.494,0.549,0.541,0.498,255385.537
2022-12-17,0.472,0.514,0.499,0.48,339178.382
2022-12-18,0.469,0.491,0.479,0.473,123931.284
2022-12-19,0.459,0.486,0.475,0.466,122779.034
2022-12-20,0.466,0.508,0.466,0.489,345973.373
2022-12-21,0.466,0.491,0.489,0.47,124542.32
2022-12-22,0.462,0.478,0.473,0.478,104871.074
2022-12-23,0.466,0.479,0.478,0.472,83849.542
2022-12-24,0.468,0.478,0.471,0.471,61105.184
2022-12-25,0.46,0.474,0.471,0.465,164143.836
2022-12-26,0.464,0.481,0.465,0.479,157899.56
2022-12-27,0.469,0.483,0.481,0.473,159848.926
2022-12-28,0.448,0.475,0.475,0.45,250294.432
2022-12-29,0.444,0.451,0.45,0.45,69531.592
2022-12-30,0.429,0.453,0.45,0.439,162044.287
2022-12-31,0.433,0.449,0.439,0.433,349985.549
2023-01-01,0.42,0.439,0.434,0.433,197723.539
2023-01-02,0.423,0.443,0.433,0.436,164340.107
2023-01-03,0.434,0.485,0.436,0.463,317853.011
2023-01-04,0.455,0.478,0.463,0.462,320768.823
2023-01-05,0.445,0.465,0.461,0.448,179992.381
2023-01-06,0.431,0.456,0.449,0.45,140484.071
2023-01-07,0.443,0.455,0.45,0.446,148355.217
2023-01-08,0.443,0.468,0.446,0.468,131686.452
2023-01-09,0.466,0.496,0.467,0.473,346155.309
2023-01-10,0.46,0.488,0.473,0.48,217625.282
2023-01-11,0.48,0.542,0.48,0.511,1252882.682
2023-01-12,0.491,0.541,0.51,0.515,674078.765
2023-01-13,0.505,0.548,0.514,0.537,351334.178
2023-01-14,0.528,0.578,0.537,0.559,1115484.633
2023-01-15,0.525,0.572,0.559,0.557,283356.708
2023-01-16,0.538,0.576,0.557,0.574,285712.724
2023-01-17,0.553,0.574,0.573,0.553,330872.984
2023-01-18,0.501,0.564,0.557,0.515,431736.067
2023-01-19,0.507,0.534,0.513,0.525,745691.661
2023-01-20,0.52,0.564,0.523,0.559,1720021.558
2023-01-21,0.556,0.594,0.561,0.567,1626092.051
2023-01-22,0.564,0.612,0.568,0.589,2099798.657
2023-01-23,0.578,0.605,0.588,0.587,1581013.23
2023-01-24,0.55,0.604,0.586,0.556,2939044.522
2023-01-25,0.545,0.727,0.558,0.684,5442627.521
2023-01-26,0.653,0.745,0.685,0.663,6872509.857
2023-01-27,0.631,0.674,0.663,0.659,3544238.383
2023-01-28,0.631,0.673,0.659,0.645,1076335.382
2023-01-29,0.639,0.789,0.645,0.774,4448051.322
2023-01-30,0.732,0.908,0.778,0.773,10158362.716
2023-01-31,0.76,0.934,0.773,0.848,9870872.421
2023-02-01,0.765,0.959,0.848,0.894,6489422.429
2023-02-02,0.829,0.93,0.896,0.839,8855151.581
2023-02-03,0.805,0.89,0.84,0.856,11106820.38
2023-02-04,0.809,0.864,0.856,0.814,7616639.719
2023-02-05,0.763,0.857,0.815,0.797,3508605.685
2023-02-06,0.751,0.843,0.799,0.796,4656290.253
2023-02-07,0.788,0.874,0.795,0.864,4656768.993
2023-02-08,0.793,0.886,0.865,0.826,5431857.336
2023-02-09,0.71,0.888,0.827,0.741,8390029.278
2023-02-10,0.712,0.956,0.74,0.892,11733782.432
2023-02-11,0.84,1.155,0.892,1.129,8308182.606
2023-02-12,0.981,1.147,1.128,1.003,14450319.037
2023-02-13,0.887,1.041,1.004,0.927,10059694.675
2023-02-14,0.891,1.05,0.93,1.038,8256971.774
2023-02-15,0.996,1.23,1.039,1.195,8058238.205
2023-02-16,1.031,1.22,1.194,1.061,7976075.125
2023-02-17,1.031,1.115,1.061,1.071,4402324.03
2023-02-18,1.043,1.164,1.071,1.056,3518231.149
2023-02-19,0.983,1.089,1.055,0.993,3020940.064
2023-02-20,0.955,1.083,0.995,1.082,3594941.077
2023-02-21,0.953,1.109,1.082,0.977,3113052.668
2023-02-22,0.908,0.998,0.978,0.989,4322299.249
2023-02-23,0.962,1.045,0.989,0.991,3256846.007
2023-02-24,0.922,0.992,0.989,0.957,3091100.033
2023-02-25,0.881,0.978,0.959,0.928,2313271.805
2023-02-26,0.921,0.964,0.927,0.956,844783.404
2023-02-27,0.92,0.981,0.955,0.938,1165301.672
2023-02-28,0.926,0.993,0.939,0.933,2769344.454
2023-03-01,0.923,0.99,0.933,0.987,1926723.025
2023-03-02,0.935,1.039,0.989,0.978,4399354.936
2023-03-03,0.839,0.983,0.98,0.881,2613331.776
2023-03-04,0.811,0.889,0.881,0.829,656011.709
2023-03-05,0.814,0.853,0.829,0.819,585537.389
2023-03-06,0.802,0.833,0.82,0.813,2147469.863
2023-03-07,0.753,0.833,0.813,0.779,2108515.363
2023-03-08,0.692,0.785,0.779,0.71,2648328.697
2023-03-09,0.649,0.735,0.711,0.669,2648533.769
2023-03-10,0.597,0.665,0.665,0.638,3784918.829
2023-03-11,0.579,0.668,0.641,0.619,2265382.349
2023-03-12,0.614,0.698,0.619,0.695,1324053.274
2023-03-13,0.673,0.755,0.697,0.741,2353799.307
2023-03-14,0.716,0.846,0.736,0.808,2520957.924
2023-03-15,0.732,0.893,0.81,0.775,3849494.092
2023-03-16,0.756,0.832,0.773,0.8,1838750.985
2023-03-17,0.78,0.895,0.801,0.888,2079668.872
2023-03-18,0.844,0.951,0.888,0.853,2995181.214
2023-03-19,0.839,0.904,0.853,0.867,908019.978
2023-03-20,0.784,0.906,0.867,0.796,1667408.727
2023-03-21,0.767,0.857,0.797,0.843,1925164.965
2023-03-22,0.771,0.858,0.844,0.806,2283919.379
2023-03-23,0.795,0.888,0.806,0.88,1573746.206
2023-03-24,0.807,0.927,0.883,0.835,2638520.296
2023-03-25,0.783,0.84,0.836,0.795,782845.754
2023-03-26,0.787,0.824,0.795,0.814,417341.794
2023-03-27,0.713,0.816,0.813,0.733,1351594.513
2023-03-28,0.7,0.761,0.734,0.749,919662.661
2023-03-29,0.743,0.788,0.749,0.775,508195.098
2023-03-30,0.734,0.79,0.774,0.757,643121.818
2023-03-31,0.737,0.785,0.758,0.777,594188.403
2023-04-01,0.754,0.787,0.781,0.769,478054.374
2023-04-02,0.724,0.777,0.769,0.741,360224.134
2023-04-03,0.713,0.754,0.74,0.741,584948.841
2023-04-04,0.727,0.776,0.74,0.763,535609.236
2023-04-05,0.739,0.781,0.762,0.763,723619.231
2023-04-06,0.734,0.762,0.762,0.745,280659.466
2023-04-07,0.725,0.745,0.744,0.731,303042.788
2023-04-08,0.722,0.739,0.731,0.726,219330.326
2023-04-09,0.714,0.738,0.724,0.732,238350.26
2023-04-10,0.716,0.758,0.732,0.754,341226.41
2023-04-11,0.739,0.758,0.754,0.742,1293272.36
2023-04-12,0.712,0.753,0.743,0.751,1284835.728
2023-04-13,0.748,0.801,0.752,0.79,1215650.447
2023-04-14,0.781,0.838,0.791,0.815,1934980.349
2023-04-15,0.793,0.818,0.814,0.802,699259.061
2023-04-16,0.783,0.833,0.801,0.827,913475.078
2023-04-17,0.784,0.832,0.827,0.8,1219333.677
2023-04-18,0.789,0.869,0.8,0.856,2603008.876
2023-04-19,0.727,0.856,0.856,0.748,3744804.951
2023-04-20,0.702,0.759,0.749,0.712,2351592.806
2023-04-21,0.653,0.721,0.711,0.666,2047410.775
2023-04-22,0.661,0.688,0.669,0.685,518878.19
2023-04-23,0.649,0.684,0.683,0.666,371839.341
2023-04-24,0.65,0.682,0.667,0.665,415315.875
2023-04-25,0.642,0.686,0.664,0.685,505809.742
2023-04-26,0.627,0.71,0.684,0.664,526088.057
2023-04-27,0.663,0.697,0.663,0.689,161908.278
2023-04-28,0.661,0.69,0.69,0.679,167076.273
2023-04-29,0.673,0.688,0.679,0.68,92422.711
2023-04-30,0.658,0.688,0.68,0.66,141601.731
2023-05-01,0.622,0.661,0.659,0.634,209510.062
2023-05-02,0.627,0.649,0.636,0.645,176315.171
2023-05-03,0.617,0.666,0.647,0.661,1505204.218
2023-05-04,0.625,0.662,0.661,0.626,122252.284
2023-05-05,0.604,0.637,0.626,0.635,540920.503
2023-05-06,0.59,0.638,0.635,0.598,322609.966
2023-05-07,0.584,0.602,0.597,0.585,298661.967
2023-05-08,0.516,0.591,0.585,0.543,1346905.478
2023-05-09,0.541,0.557,0.542,0.552,316085.101
2023-05-10,0.543,0.586,0.554,0.577,506221.245
2023-05-11,0.528,0.578,0.578,0.546,289682.797
2023-05-12,0.53,0.568,0.546,0.567,228087.51
2023-05-13,0.553,0.567,0.565,0.557,89814.065
2023-05-14,0.549,0.57,0.556,0.563,173620.32
2023-05-15,0.549,0.577,0.562,0.564,288074.021
2023-05-16,0.555,0.574,0.565,0.566,205573.796
2023-05-17,0.558,0.592,0.564,0.585,276518.49
2023-05-18,0.565,0.595,0.585,0.576,229827.838
2023-05-19,0.566,0.584,0.575,0.58,187962.469
2023-05-20,0.572,0.586,0.579,0.583,242729.309
2023-05-21,0.562,0.592,0.583,0.567,122173.55
2023-05-22,0.552,0.57,0.567,0.565,111289.689
2023-05-23,0.558,0.584,0.564,0.579,144928.374
2023-05-24,0.541,0.578,0.578,0.553,182229.732
2023-05-25,0.532,0.564,0.55,0.559,141314.231
2023-05-26,0.548,0.566,0.557,0.561,112204.407
2023-05-27,0.555,0.566,0.56,0.563,68251.47
2023-05-28,0.561,0.59,0.561,0.583,200840.421
2023-05-29,0.565,0.589,0.584,0.568,143782.037
2023-05-30,0.56,0.574,0.569,0.566,148783.965
2023-05-31,0.532,0.569,0.565,0.539,348606.113
2023-06-01,0.523,0.543,0.539,0.53,245227.683
2023-06-02,0.526,0.547,0.531,0.543,177815.255
2023-06-03,0.539,0.551,0.543,0.547,143892.485
2023-06-04,0.542,0.561,0.548,0.544,240518.102
2023-06-05,0.486,0.545,0.544,0.506,532717.894
2023-06-06,0.489,0.521,0.506,0.514,396709.497
2023-06-07,0.483,0.526,0.515,0.486,488638.712
2023-06-08,0.473,0.504,0.487,0.494,369971.911
2023-06-09,0.485,0.511,0.494,0.491,300706.732
2023-06-10,0.369,0.49,0.489,0.416,1529585.914
2023-06-11,0.409,0.433,0.415,0.42,329203.88
2023-06-12,0.403,0.421,0.419,0.406,759940.668
2023-06-13,0.402,0.427,0.406,0.42,296491.328
2023-06-14,0.382,0.425,0.419,0.396,371623.262
2023-06-15,0.385,0.409,0.394,0.404,244824.43
2023-06-16,0.398,0.419,0.402,0.412,164758.913
2023-06-17,0.409,0.432,0.412,0.428,203448.67
2023-06-18,0.42,0.434,0.429,0.42,113314.394
2023-06-19,0.418,0.438,0.42,0.43,105077.972
2023-06-20,0.416,0.453,0.43,0.449,236379.952
2023-06-21,0.437,0.497,0.448,0.483,548429.129
2023-06-22,0.471,0.512,0.482,0.472,510697.06
2023-06-23,0.458,0.491,0.473,0.479,238619.972
2023-06-24,0.469,0.492,0.478,0.481,191055.765
2023-06-25,0.483,0.51,0.484,0.494,378022.379
2023-06-26,0.479,0.516,0.493,0.49,240370.511
2023-06-27,0.489,0.522,0.49,0.493,366418.219
2023-06-28,0.441,0.493,0.493,0.458,276670.919
2023-06-29,0.453,0.475,0.457,0.464,175493.826
2023-06-30,0.436,0.489,0.467,0.486,449418.422
2023-07-01,0.478,0.497,0.486,0.496,143777.674
2023-07-02,0.477,0.5,0.495,0.497,125307.337
2023-07-03,0.492,0.525,0.498,0.517,223048.018
2023-07-04,0.502,0.524,0.515,0.511,156539.451
2023-07-05,0.48,0.521,0.511,0.483,205086.011
2023-07-06,0.456,0.501,0.484,0.456,216506.408
2023-07-07,0.448,0.462,0.455,0.458,236416.208
2023-07-08,0.437,0.461,0.456,0.448,127077.524
2023-07-09,0.436,0.453,0.449,0.437,140030.865
2023-07-10,0.428,0.49,0.438,0.48,424608.499
2023-07-11,0.449,0.515,0.48,0.453,1574748.302
2023-07-12,0.44,0.455,0.452,0.445,789653.024
2023-07-13,0.439,0.499,0.447,0.495,873624.933
2023-07-14,0.466,0.515,0.495,0.487,726442.23
2023-07-15,0.476,0.495,0.485,0.48,134308.82
2023-07-16,0.465,0.481,0.48,0.47,182373.567
2023-07-17,0.457,0.483,0.469,0.474,207489.189
2023-07-18,0.452,0.481,0.474,0.457,201565.158
2023-07-19,0.45,0.464,0.457,0.451,212960.673
2023-07-20,0.449,0.465,0.451,0.459,178676.797
2023-07-21,0.455,0.465,0.459,0.462,124623.327
2023-07-22,0.452,0.468,0.461,0.457,79028.813
2023-07-23,0.453,0.469,0.456,0.463,69346.329
2023-07-24,0.432,0.464,0.462,0.441,248228.237
2023-07-25,0.432,0.442,0.44,0.437,225325.746
