,id,display_name,fx_stablecoin,max_slippage_percentage,status
579,WLUNA-USD,WLUNA/USD,False,0.10000000,delisted
580,CTX-EUR,CTX/EUR,False,0.05000000,online
581,00-USD,00/USD,False,0.03000000,online
582,DOGE-BTC,DOGE/BTC,False,0.03000000,online
583,DDX-USDT,DDX/USDT,False,0.03000000,online
584,LPT-USD,LPT/USD,False,0.03000000,online
585,FARM-USDT,FARM/USDT,False,0.03000000,online
586,SNT-USD,SNT/USD,False,0.03000000,online
587,DOGE-USDT,DOGE/USDT,False,0.03000000,online
588,RLC-BTC,RLC/BTC,False,0.03000000,online
589,POND-USDT,POND/USDT,False,0.03000000,online
590,CRV-EUR,CRV/EUR,False,0.03000000,online
591,PNG-USD,PNG/USD,False,0.05000000,online
592,COMP-USD,COMP/USD,False,0.03000000,online
593,APT-USD,APT/USD,False,0.03000000,online
594,AXS-USD,AXS/USD,False,0.03000000,online
595,GRT-BTC,GRT/BTC,False,0.03000000,online
596,GNO-USDT,GNO/USDT,False,0.03000000,delisted
